Timestep,Living Population,Active Infections,Economic Productivity,Population Change
314,78516,5334,19716.68572945023,-10
315,78510,5330,19613.454543640953,-6
316,78498,5303,19522.418748682805,-12
317,78489,5267,19426.27553906153,-9
318,78477,5266,19341.339218226694,-12
319,78457,5245,19263.57937772705,-20
320,78459,5253,19172.9104485862,2
321,78451,5244,19085.687033093836,-8
322,78443,5266,18993.92538095939,-8
323,78432,5228,18901.69748137176,-11
324,78416,5207,18817.88732213547,-16
325,78406,5166,18746.702350202428,-10
326,78402,5185,18669.818246985487,-4
327,78402,5234,18587.54246674844,0
328,78394,5230,18509.17817523646,-8
329,78392,5270,18420.785112280064,-2
330,78382,5253,18343.593764704547,-10
331,78380,5256,18255.766384029957,-2
332,78367,5267,18177.889870186842,-13
333,78358,5291,18105.734652501622,-9
334,78357,5265,18024.966215468357,-1
335,78343,5289,17935.135100496165,-14
336,78330,5322,17849.054873741283,-13
337,78311,5321,17769.377576708353,-19
338,78299,5301,17686.722367982067,-12
339,78296,5274,17622.64947142939,-3
340,78293,5251,17555.0238634078,-3
341,78287,5261,17470.48000723715,-6
342,78278,5223,17386.230392001187,-9
343,78268,5232,17309.31483528338,-10
344,78258,5206,17239.19313521867,-10
345,78265,5231,17150.340539557183,7
346,78255,5262,17059.911202797462,-10
347,78256,5266,16974.932907961946,1
348,78247,5227,16892.351652746187,-9
349,78236,5218,16816.32287053108,-11
350,78217,5203,16742.77384887026,-19
351,78210,5224,16675.358288360872,-7
352,78209,5187,16617.765072625447,-1
353,78194,5191,16542.272989662484,-15
354,78191,5170,16476.432673704177,-3
355,78180,5137,16411.34414865844,-11
356,78186,5173,16341.882271883493,6
357,78177,5142,16278.375425900298,-9
358,78172,5161,16209.666070676662,-5
359,78170,5177,16131.44822527694,-2
360,78154,5146,16054.49335715222,-16
361,78134,5160,15978.293121265735,-20
362,78120,5091,15923.919329908915,-14
363,78116,5099,15858.204383449249,-4
364,78114,5085,15792.15311285601,-2
365,78101,5075,15724.510486865589,-13
366,78090,5048,15657.945511838574,-11
367,78075,5050,15597.391176914862,-15
368,78068,5044,15537.83186809952,-7
369,78063,5064,15481.194764298265,-5
370,78055,5063,15426.89961144856,-8
371,78054,5069,15361.639153998813,-1
372,78055,5049,15313.3049655596,1
373,78043,5027,15255.25737664323,-12
374,78038,5041,15196.29583432498,-5
375,78032,5068,15122.983530039677,-6
376,78025,5090,15046.677794143674,-7
