Timestep,Living Population,Active Infections,Economic Productivity,Population Change
65,80450,39,56981.31113538488,7
66,80454,39,57015.289577544994,4
67,80460,36,57045.490627976396,6
68,80471,38,57071.29681784624,11
69,80474,43,57094.988801030595,3
70,80483,43,57118.70799972733,9
71,80492,45,57140.013228367345,9
72,80500,42,57159.42690419534,8
73,80509,40,57179.34990296589,9
74,80516,48,57193.03482295332,7
75,80519,46,57210.95561150605,3
76,80523,45,57228.13507942426,4
77,80534,48,57243.170596467295,11
78,80544,51,57252.967482615066,10
79,80548,51,57265.70950699852,4
80,80556,56,57275.5370495942,8
81,80567,56,57286.576104498134,11
82,80575,58,57296.48331705404,8
83,80584,60,57305.91028866218,9
84,80595,60,57314.73852332371,11
85,80607,61,57321.88648174142,12
86,80623,61,57330.589112648,16
87,80629,61,57337.749834554525,6
88,80636,62,57342.512207909655,7
89,80648,68,57344.291674518616,12
90,80654,69,57346.12994204538,6
91,80664,72,57349.070538313434,10
92,80670,71,57355.04842405485,6
93,80677,76,57355.13223747295,7
94,80687,75,57357.13927253583,10
95,80697,79,57357.95479167884,10
96,80710,76,57360.75983601857,13
97,80729,74,57363.23176809485,19
98,80737,72,57366.53591925636,8
99,80746,79,57365.327748728756,9
100,80753,82,57366.396365408276,7
101,80762,85,57367.12358396497,9
102,80767,87,57368.541054681074,5
103,80779,84,57370.64553604188,12
104,80789,83,57371.733945123146,10
105,80798,84,57371.57104433962,9
106,80802,79,57373.51266569443,4
107,80814,82,57370.00983695893,12
108,80821,80,57367.81941745742,7
109,80833,77,57364.98567511044,12
110,80837,78,57365.50977747023,4
111,80847,80,57362.63398609983,10
112,80862,81,57358.34035095863,15
113,80870,75,57356.45289657213,8
114,80875,76,57354.446108443466,5
115,80883,82,57350.14082762604,8
116,80885,79,57351.57441999654,2
117,80896,79,57349.1494114417,11
118,80906,82,57347.193645956024,10
119,80914,88,57343.81700260793,8
120,80922,85,57340.92304915069,8
121,80932,86,57335.70885838419,10
122,80937,87,57331.50955072717,5
123,80945,90,57327.19966117828,8
124,80952,90,57323.68746797263,7
125,80960,91,57320.31294003776,8
126,80965,97,57313.296721292434,5
127,80973,95,57310.628202776556,8
128,80986,96,57305.50114296558,13
129,80993,101,57297.16663485918,7
130,81005,106,57287.9245807877,12
131,81014,109,57282.36244043514,9
132,81020,121,57273.12063377693,6
133,81032,125,57267.44242056426,12
134,81038,128,57259.054474334596,6
135,81053,133,57251.56560802889,15
136,81064,142,57244.4759307021,11
137,81072,146,57237.84632202776,8
138,81082,148,57232.42183358472,10
139,81095,151,57221.35890004426,13
140,81101,150,57215.6692953611,6
141,81104,147,57211.03009630038,3
142,81117,151,57199.75090645639,13
143,81131,154,57194.064918192365,14
144,81146,155,57188.63028334626,15
145,81155,154,57183.81242744278,9
146,81168,157,57176.180517383276,13
147,81180,162,57166.40681774662,12
148,81191,167,57156.56572151318,11
149,81201,164,57145.89105922939,10
150,81210,174,57132.095722450984,9
151,81223,170,57127.45219179696,13
152,81238,167,57123.498865947855,15
153,81253,175,57114.958922326885,15
154,81264,187,57103.2874858113,11
155,81277,188,57098.04534788271,13
156,81282,191,57088.46578986707,5
157,81291,199,57075.9613787825,9
158,81305,197,57064.95192501921,14
